,user_ID,gender,age,the_total_time_need_to_fill_questionnaire_form,prefecture_ID,region_ID,east/west_ID,currently_prefecture_ID,currently _regional_ID,currently_east/west_ID,0_if_features_5_and_8_are_equal
40,9944,1,2,310,0,0,0,0,0,0,0
41,1131,0,1,246,23,6,1,23,6,1,0
42,5189,0,2,305,7,2,0,7,2,0,0
43,6823,0,3,249,30,7,1,30,7,1,0
44,1398,1,3,391,4,1,0,4,1,0,0
45,5019,0,0,264,13,3,0,13,3,0,0
46,6031,0,3,268,26,6,1,26,6,1,0
47,8688,1,2,251,34,7,1,31,7,1,1
48,1072,0,1,286,13,3,0,13,3,0,0
49,9824,1,0,285,17,4,0,17,4,0,0
50,1610,1,1,326,24,5,0,24,5,0,0
51,9065,1,1,319,13,3,0,13,3,0,0
52,6863,0,2,227,31,7,1,31,7,1,0
53,9924,1,2,291,32,7,1,25,6,1,1
54,5213,0,1,209,35,8,1,39,9,1,1
55,3523,0,3,288,36,8,1,24,5,0,1
56,3173,0,3,248,18,5,0,18,5,0,0
57,8975,1,2,331,13,3,0,14,3,0,1
58,4769,0,2,287,31,7,1,14,3,0,1
59,5483,0,1,252,26,6,1,26,6,1,0
60,4881,0,1,206,42,9,1,42,9,1,0
61,8615,1,1,294,19,5,0,13,3,0,1
62,8470,1,1,272,13,3,0,31,7,1,1
63,1585,1,3,214,43,9,1,45,9,1,1
64,10053,1,1,362,11,3,0,13,3,0,1
65,3413,0,2,413,39,9,1,13,3,0,1
66,3311,0,2,356,46,10,1,46,10,1,0
67,9320,1,4,412,18,5,0,26,6,1,1
68,4989,0,3,281,13,3,0,13,3,0,0
69,4361,0,2,239,29,6,1,18,5,0,1
70,5743,0,2,258,13,3,0,10,3,0,1
71,8242,1,2,223,0,0,0,18,5,0,1
72,1123,1,3,383,26,6,1,29,6,1,1
73,4603,0,2,303,29,6,1,29,6,1,0
74,8979,1,2,191,11,3,0,11,3,0,0
75,9997,1,1,355,4,1,0,12,3,0,1
76,1708,1,2,496,14,3,0,14,3,0,0
77,1556,0,1,352,13,3,0,13,3,0,0
78,9779,1,0,245,26,6,1,26,6,1,0
79,6211,0,2,399,9,3,0,9,3,0,0
80,6535,0,4,290,25,6,1,18,5,0,1
81,1975,1,1,222,30,7,1,12,3,0,1
82,1344,1,0,328,29,6,1,29,6,1,0
83,9416,1,1,326,29,6,1,33,7,1,1
84,8449,1,2,320,1,1,0,1,1,0,0
85,5331,0,0,197,13,3,0,13,3,0,0
86,4101,0,2,295,11,3,0,9,3,0,1
87,9938,1,2,421,14,3,0,14,3,0,0
88,4225,0,4,316,13,3,0,13,3,0,0
89,8254,1,2,548,43,9,1,43,9,1,0
90,3477,0,3,399,16,3,0,16,3,0,0
91,5515,0,0,334,0,0,0,13,3,0,1
92,3219,0,3,285,35,8,1,35,8,1,0
93,1703,1,1,279,14,3,0,14,3,0,0
94,10114,1,2,509,13,3,0,29,6,1,1
95,1102,1,3,214,0,0,0,0,0,0,0
96,8759,1,2,231,13,3,0,13,3,0,0
97,9994,1,0,179,29,6,1,29,6,1,0
98,8505,1,2,292,13,3,0,13,3,0,0
99,3213,0,1,320,34,7,1,31,7,1,1
100,3073,0,2,270,13,3,0,13,3,0,0
101,6971,0,3,362,3,1,0,3,1,0,0
102,9286,1,2,196,17,4,0,17,4,0,0
103,3349,0,0,338,27,6,1,27,6,1,0
104,6135,0,2,293,8,3,0,29,6,1,1
105,8357,1,2,292,14,3,0,13,3,0,1
106,8103,1,1,248,14,3,0,14,3,0,0
107,9929,1,4,279,39,9,1,39,9,1,0
108,1931,1,0,364,18,5,0,18,5,0,0
109,5209,0,0,208,9,3,0,9,3,0,0
110,3903,0,2,686,4,1,0,4,1,0,0
111,9394,1,0,259,7,2,0,7,2,0,0
112,4365,0,4,341,40,9,1,39,9,1,1
113,7115,0,3,252,4,1,0,4,1,0,0
114,6245,0,3,353,21,2,0,9,3,0,1
115,5435,0,4,406,18,5,0,18,5,0,0
116,3443,0,0,332,14,3,0,14,3,0,0
117,3729,0,1,202,30,7,1,29,6,1,1
118,9507,1,2,327,30,7,1,30,7,1,0
119,6107,0,1,280,13,3,0,13,3,0,0
120,3647,0,2,264,30,7,1,30,7,1,0
121,9591,1,1,247,13,3,0,13,3,0,0
122,6079,0,2,207,7,2,0,7,2,0,0
123,4573,0,1,274,14,3,0,14,3,0,0
124,1805,1,1,215,17,4,0,15,4,0,1
125,10049,1,0,202,16,3,0,16,3,0,0
126,9866,1,2,230,20,2,0,31,7,1,1
127,8226,1,2,281,31,7,1,26,6,1,1
128,9681,1,1,261,23,6,1,23,6,1,0
129,1380,0,5,489,13,3,0,14,3,0,1
130,1789,0,1,215,43,9,1,43,9,1,0
131,3513,0,1,269,21,2,0,21,2,0,0
132,6849,0,2,187,11,3,0,11,3,0,0
133,1358,1,2,201,13,3,0,13,3,0,0
134,10004,1,1,561,46,10,1,46,10,1,0
135,6265,0,2,322,9,3,0,9,3,0,0
136,9584,1,1,230,25,6,1,25,6,1,0
137,8790,1,2,397,18,5,0,18,5,0,0
138,6387,0,3,209,19,5,0,19,5,0,0
139,1569,1,3,314,0,0,0,0,0,0,0
140,8750,1,2,222,29,6,1,29,6,1,0
141,9316,1,1,301,11,3,0,11,3,0,0
142,10104,1,2,207,25,6,1,26,6,1,1
143,3015,0,5,366,4,1,0,4,1,0,0
144,6157,0,1,252,26,6,1,26,6,1,0
145,6111,0,2,320,13,3,0,13,3,0,0
146,1773,0,1,266,26,6,1,26,6,1,0
147,5987,0,1,213,14,3,0,14,3,0,0
148,6261,0,3,321,12,3,0,12,3,0,0
149,1979,0,3,270,26,6,1,26,6,1,0
150,8439,1,2,258,34,7,1,31,7,1,1
151,9558,1,2,213,14,3,0,13,3,0,1
152,8735,1,2,206,10,3,0,6,1,0,1
153,6493,0,2,218,12,3,0,12,3,0,0
154,3973,0,2,392,5,1,0,18,5,0,1
155,10079,1,1,259,18,5,0,18,5,0,0
156,5097,0,4,305,13,3,0,13,3,0,0
157,4405,0,2,429,12,3,0,12,3,0,0
158,9049,1,3,211,18,5,0,18,5,0,0
159,6773,0,1,304,43,9,1,43,9,1,0
160,8943,1,3,241,39,9,1,26,6,1,1
161,3687,0,1,222,26,6,1,26,6,1,0
162,1645,1,2,241,13,3,0,13,3,0,0
163,8703,1,1,264,31,7,1,8,3,0,1
164,8479,1,4,523,18,5,0,14,3,0,1
165,5863,0,3,284,16,3,0,16,3,0,0
166,8085,1,3,290,20,2,0,20,2,0,0
167,3971,0,3,191,29,6,1,29,6,1,0
168,5671,0,0,336,11,3,0,11,3,0,0
169,9057,1,4,335,26,6,1,13,3,0,1
170,6463,0,1,234,11,3,0,11,3,0,0
171,1178,0,3,360,18,5,0,18,5,0,0
172,5109,0,2,245,25,6,1,25,6,1,0
173,1782,0,2,276,18,5,0,18,5,0,0
174,4549,0,4,425,13,3,0,13,3,0,0
175,7107,0,3,288,13,3,0,11,3,0,1
176,1143,0,2,315,6,1,0,6,1,0,0
177,5407,0,1,211,18,5,0,18,5,0,0
178,1730,1,1,379,39,9,1,39,9,1,0
179,9000,1,0,270,43,9,1,43,9,1,0
180,4353,0,4,182,39,9,1,13,3,0,1
181,5635,0,3,259,13,3,0,12,3,0,1
182,1696,1,1,316,16,3,0,13,3,0,1
183,4245,0,3,286,6,1,0,13,3,0,1
184,9605,1,2,216,23,6,1,23,6,1,0
185,3809,0,3,207,45,9,1,13,3,0,1
186,4159,0,4,406,42,9,1,26,6,1,1
187,1177,0,3,275,39,9,1,36,8,1,1
188,5431,0,1,219,29,6,1,29,6,1,0
189,5705,0,1,199,13,3,0,13,3,0,0
190,5965,0,3,322,16,3,0,16,3,0,0
191,4485,0,2,277,18,5,0,18,5,0,0
192,6515,0,4,348,16,3,0,14,3,0,1
193,1239,1,2,272,2,1,0,8,3,0,1
194,9076,1,2,194,29,6,1,29,6,1,0
195,9827,1,0,318,14,3,0,14,3,0,0
196,8705,1,2,221,26,6,1,0,0,0,1
197,9631,1,2,318,12,3,0,21,2,0,1
198,6333,0,3,302,25,6,1,46,10,1,1
199,10092,1,2,508,14,3,0,14,3,0,0
200,8177,1,1,207,13,3,0,11,3,0,1
201,10059,1,0,170,26,6,1,26,6,1,0
202,1910,1,1,280,26,6,1,27,6,1,1
203,4301,0,4,306,29,6,1,29,6,1,0
204,7007,0,1,260,18,5,0,10,3,0,1
205,9427,1,2,267,25,6,1,25,6,1,0
206,9329,1,2,316,27,6,1,26,6,1,1
207,3261,0,4,315,27,6,1,27,6,1,0
208,1815,1,2,208,11,3,0,11,3,0,0
209,4067,0,1,220,29,6,1,29,6,1,0
210,9984,1,1,238,26,6,1,26,6,1,0
211,1858,0,3,218,36,8,1,26,6,1,1
212,8823,1,4,345,13,3,0,13,3,0,0
213,5847,0,1,462,18,5,0,18,5,0,0
214,6949,0,4,298,0,0,0,12,3,0,1
215,9857,1,3,316,19,5,0,19,5,0,0
216,9644,1,2,246,15,4,0,0,0,0,1
217,1989,1,1,283,40,9,1,40,9,1,0
218,5379,0,2,323,26,6,1,26,6,1,0
219,1847,0,2,251,26,6,1,23,6,1,1
220,4391,0,3,385,13,3,0,20,2,0,1
221,1265,0,2,226,28,6,1,28,6,1,0
222,9393,1,1,190,0,0,0,13,3,0,1
223,9935,1,2,259,16,3,0,13,3,0,1
224,8216,1,2,233,13,3,0,14,3,0,1
225,8380,1,3,303,25,6,1,25,6,1,0
226,4297,0,2,167,25,6,1,25,6,1,0
227,6453,0,3,492,45,9,1,45,9,1,0
228,6727,0,2,323,26,6,1,26,6,1,0
229,8326,1,1,315,43,9,1,43,9,1,0
230,4457,0,4,309,13,3,0,13,3,0,0
231,9130,1,3,298,0,0,0,0,0,0,0
232,8229,1,2,238,26,6,1,26,6,1,0
233,10012,1,2,357,8,3,0,8,3,0,0
234,1624,1,2,220,30,7,1,30,7,1,0
235,9820,1,1,205,39,9,1,39,9,1,0
236,6077,0,2,236,11,3,0,11,3,0,0
237,3019,0,2,299,26,6,1,26,6,1,0
238,3925,0,2,231,13,3,0,13,3,0,0
239,5235,0,0,287,44,9,1,44,9,1,0
240,4849,0,3,303,0,0,0,0,0,0,0
241,3519,0,3,296,18,5,0,18,5,0,0
242,1282,1,2,275,8,3,0,14,3,0,1
243,9593,1,3,244,13,3,0,14,3,0,1
244,8430,1,3,304,7,2,0,7,2,0,0
245,8484,1,2,367,16,3,0,13,3,0,1
246,5271,0,1,283,25,6,1,25,6,1,0
247,3719,0,3,302,18,5,0,18,5,0,0
248,9075,1,2,328,18,5,0,18,5,0,0
249,8345,1,1,312,34,7,1,34,7,1,0
250,1305,0,5,349,17,4,0,17,4,0,0
251,8879,1,1,219,13,3,0,29,6,1,1
252,5433,0,3,413,42,9,1,13,3,0,1
253,4793,0,5,373,14,3,0,13,3,0,1
254,9845,1,0,246,12,3,0,12,3,0,0
255,8219,1,1,230,26,6,1,26,6,1,0
256,6573,0,1,330,16,3,0,16,3,0,0
257,9966,1,0,433,25,6,1,25,6,1,0
258,5335,0,3,238,13,3,0,24,5,0,1
259,3567,0,3,350,35,8,1,35,8,1,0
260,1345,0,1,171,13,3,0,13,3,0,0
261,9805,1,2,646,29,6,1,26,6,1,1
262,9129,1,1,429,43,9,1,43,9,1,0
263,4187,0,3,244,2,1,0,8,3,0,1
264,9041,1,2,284,34,7,1,31,7,1,1
265,1064,1,3,431,14,3,0,14,3,0,0
266,4747,0,3,312,42,9,1,42,9,1,0
267,3935,0,1,260,31,7,1,31,7,1,0
268,6293,0,4,656,43,9,1,43,9,1,0
269,6203,0,3,444,11,3,0,11,3,0,0
270,1579,1,3,177,7,2,0,7,2,0,0
271,9548,1,3,453,13,3,0,24,5,0,1
272,9008,1,3,190,12,3,0,12,3,0,0
273,8059,1,0,226,26,6,1,26,6,1,0
274,3601,0,2,192,0,0,0,0,0,0,0
275,1017,0,1,221,25,6,1,25,6,1,0
276,3365,0,2,239,6,1,0,6,1,0,0
277,3693,0,2,338,7,2,0,11,3,0,1
278,5903,0,3,415,29,6,1,27,6,1,1
279,9541,1,2,242,16,3,0,16,3,0,0
280,9975,1,0,282,12,3,0,12,3,0,0
281,1493,1,1,248,36,8,1,36,8,1,0
282,8913,1,2,243,14,3,0,14,3,0,0
283,4633,0,2,446,13,3,0,13,3,0,0
284,1321,0,1,210,14,3,0,14,3,0,0
285,1186,0,1,253,5,1,0,29,6,1,1
286,5775,0,2,274,17,4,0,17,4,0,0
287,1864,1,2,318,18,5,0,14,3,0,1
288,9992,1,3,227,26,6,1,26,6,1,0
289,6225,0,1,215,11,3,0,11,3,0,0
290,9880,1,1,313,1,1,0,13,3,0,1
291,3541,0,2,362,13,3,0,13,3,0,0
292,9391,1,2,425,19,5,0,19,5,0,0
293,9345,1,2,291,30,7,1,40,9,1,1
294,1551,0,3,229,13,3,0,13,3,0,0
295,5241,0,0,229,23,6,1,23,6,1,0
296,9618,1,2,245,14,3,0,14,3,0,0
297,1403,1,1,192,31,7,1,31,7,1,0
298,7245,0,1,223,25,6,1,25,6,1,0
299,1009,1,0,280,13,3,0,13,3,0,0
300,8779,1,1,239,26,6,1,26,6,1,0
301,8295,1,1,246,18,5,0,18,5,0,0
302,8492,1,2,283,11,3,0,12,3,0,1
303,4607,0,1,193,27,6,1,27,6,1,0
304,5381,0,2,371,3,1,0,3,1,0,0
305,1813,0,4,678,11,3,0,11,3,0,0
306,1851,0,2,244,17,4,0,17,4,0,0
307,1127,1,2,331,13,3,0,14,3,0,1
308,8962,1,1,269,26,6,1,26,6,1,0
309,1442,0,1,215,10,3,0,11,3,0,1
310,9671,1,2,266,20,2,0,13,3,0,1
311,8440,1,3,498,7,2,0,18,5,0,1
312,8573,1,2,221,14,3,0,14,3,0,0
313,1422,0,3,206,0,0,0,0,0,0,0
314,5885,0,4,743,30,7,1,30,7,1,0
315,9616,1,1,222,16,3,0,18,5,0,1
316,1716,1,1,252,10,3,0,10,3,0,0
317,3067,0,5,329,6,1,0,11,3,0,1
318,3695,0,2,253,14,3,0,14,3,0,0
319,5559,0,2,233,14,3,0,14,3,0,0
320,5665,0,2,226,13,3,0,13,3,0,0
321,1455,1,2,284,26,6,1,26,6,1,0
322,0,0,2,785,26,6,1,8,3,0,1
323,1575,0,4,445,26,6,1,26,6,1,0
324,3515,0,2,241,31,7,1,14,3,0,1
325,1356,1,1,222,26,6,1,26,6,1,0
326,5831,0,3,210,0,0,0,0,0,0,0
327,6593,0,2,318,4,1,0,4,1,0,0
328,6103,0,1,224,17,4,0,17,4,0,0
329,3385,0,1,173,19,5,0,19,5,0,0
330,3539,0,0,240,10,3,0,10,3,0,0
331,9759,1,0,268,16,3,0,16,3,0,0
332,9947,1,2,348,13,3,0,13,3,0,0
333,8113,1,2,312,10,3,0,10,3,0,0
334,1987,0,1,261,12,3,0,12,3,0,0
335,9664,1,2,179,39,9,1,25,6,1,1
336,5113,0,1,265,8,3,0,4,1,0,1
337,9206,1,0,260,18,5,0,18,5,0,0
338,8217,1,3,261,18,5,0,18,5,0,0
339,9035,1,1,233,8,3,0,8,3,0,0
340,9694,1,2,252,39,9,1,39,9,1,0
341,5399,0,3,326,30,7,1,29,6,1,1
342,4433,0,1,204,0,0,0,0,0,0,0
343,8566,1,2,236,13,3,0,13,3,0,0
344,1567,1,1,185,7,2,0,14,3,0,1
345,9055,1,1,290,24,5,0,24,5,0,0
346,9566,1,2,294,22,2,0,22,2,0,0
347,8072,1,2,380,14,3,0,13,3,0,1
348,6739,0,2,228,40,9,1,18,5,0,1
349,1868,0,2,348,6,1,0,12,3,0,1
350,9818,1,0,521,13,3,0,13,3,0,0
351,9504,1,3,317,19,5,0,18,5,0,1
352,8230,1,3,306,13,3,0,25,6,1,1
353,1174,1,3,257,29,6,1,26,6,1,1
354,4671,0,3,219,21,2,0,21,2,0,0
355,6509,0,1,327,43,9,1,43,9,1,0
356,1369,1,2,478,12,3,0,12,3,0,0
357,3579,0,3,225,19,5,0,19,5,0,0
358,3779,0,2,290,29,6,1,13,3,0,1
359,1259,0,1,239,18,5,0,18,5,0,0
360,9456,1,1,243,13,3,0,13,3,0,0
361,1734,1,1,264,15,4,0,13,3,0,1
362,4843,0,3,260,14,3,0,14,3,0,0
363,8377,1,1,329,13,3,0,13,3,0,0
364,1514,1,1,257,12,3,0,12,3,0,0
365,8845,1,1,180,43,9,1,43,9,1,0
366,1677,1,1,346,43,9,1,43,9,1,0
367,4783,0,2,310,29,6,1,26,6,1,1
368,8340,1,2,506,17,4,0,14,3,0,1
369,8664,1,3,279,13,3,0,14,3,0,1
370,8456,1,2,255,13,3,0,13,3,0,0
371,9656,1,2,215,16,3,0,16,3,0,0
372,6123,0,1,224,14,3,0,14,3,0,0
373,6689,0,2,369,12,3,0,12,3,0,0
374,4981,0,0,349,24,5,0,24,5,0,0
375,5081,0,3,228,26,6,1,29,6,1,1
376,9339,1,1,364,18,5,0,18,5,0,0
377,8736,1,2,165,36,8,1,11,3,0,1
378,9308,1,0,250,11,3,0,4,1,0,1
379,1604,1,2,346,13,3,0,11,3,0,1
380,8536,1,1,209,26,6,1,26,6,1,0
381,1197,1,2,221,16,3,0,14,3,0,1
382,8278,1,1,212,13,3,0,13,3,0,0
383,6191,0,4,372,26,6,1,25,6,1,1
384,4021,0,1,263,26,6,1,26,6,1,0
385,3147,0,1,165,11,3,0,11,3,0,0
386,9626,1,4,550,26,6,1,26,6,1,0
387,8073,1,2,238,26,6,1,26,6,1,0
388,1680,1,1,507,0,0,0,12,3,0,1
389,8342,1,1,259,14,3,0,14,3,0,0
390,8837,1,2,238,18,5,0,18,5,0,0
391,4501,0,5,311,13,3,0,13,3,0,0
392,3281,0,4,366,13,3,0,12,3,0,1
393,9690,1,1,304,35,8,1,30,7,1,1
394,1855,0,3,318,26,6,1,26,6,1,0
395,1889,1,4,291,13,3,0,12,3,0,1
396,9002,1,3,306,13,3,0,13,3,0,0
397,4757,0,2,179,29,6,1,29,6,1,0
398,9561,1,3,302,26,6,1,26,6,1,0
399,1991,1,2,239,18,5,0,18,5,0,0
400,6733,0,3,219,11,3,0,11,3,0,0
401,9588,1,2,254,26,6,1,26,6,1,0
402,9734,1,0,182,8,3,0,8,3,0,0
403,5709,0,2,361,27,6,1,26,6,1,1
404,1402,1,1,299,13,3,0,4,1,0,1
405,1251,1,1,415,31,7,1,31,7,1,0
406,7177,0,3,331,0,0,0,0,0,0,0
407,1465,1,2,426,37,8,1,14,3,0,1
408,6467,0,1,191,39,9,1,39,9,1,0
409,5065,0,2,305,18,5,0,18,5,0,0
410,9192,1,1,271,0,0,0,18,5,0,1
411,5191,0,4,472,0,0,0,0,0,0,0
412,8341,1,1,294,31,7,1,31,7,1,0
413,1478,0,1,188,17,4,0,13,3,0,1
414,4023,0,2,342,16,3,0,16,3,0,0
415,8500,1,1,330,40,9,1,13,3,0,1
416,1453,0,1,229,13,3,0,14,3,0,1
417,8415,1,4,302,19,5,0,19,5,0,0
418,4375,0,4,253,18,5,0,18,5,0,0
419,9717,1,0,199,30,7,1,30,7,1,0
420,6701,0,3,225,0,0,0,0,0,0,0
421,8306,1,2,280,26,6,1,26,6,1,0
422,5763,0,3,354,1,1,0,1,1,0,0
423,6833,0,2,283,30,7,1,30,7,1,0
424,9295,1,2,196,6,1,0,11,3,0,1
425,8240,1,2,253,27,6,1,27,6,1,0
426,1527,1,1,433,13,3,0,13,3,0,0
427,1937,1,2,281,12,3,0,12,3,0,0
428,1924,1,4,336,26,6,1,27,6,1,1
429,5139,0,1,292,11,3,0,11,3,0,0
430,4169,0,2,206,13,3,0,13,3,0,0
431,9877,1,0,353,31,7,1,31,7,1,0
432,1008,1,1,382,18,5,0,18,5,0,0
433,9443,1,1,234,26,6,1,26,6,1,0
434,5981,0,3,308,29,6,1,29,6,1,0
435,6879,0,2,241,13,3,0,8,3,0,1
436,1103,1,3,308,11,3,0,11,3,0,0
437,6069,0,2,216,26,6,1,26,6,1,0
438,1327,0,2,293,26,6,1,26,6,1,0
439,9610,1,1,166,13,3,0,13,3,0,0
440,1571,1,2,307,18,5,0,18,5,0,0
441,1973,1,3,206,29,6,1,29,6,1,0
442,3331,0,4,244,13,3,0,12,3,0,1
443,9828,1,2,198,26,6,1,26,6,1,0
444,9946,1,1,274,8,3,0,13,3,0,1
445,4393,0,2,279,13,3,0,14,3,0,1
446,5717,0,3,262,14,3,0,14,3,0,0
447,9767,1,2,179,18,5,0,18,5,0,0
448,8209,1,2,303,18,5,0,14,3,0,1
449,5653,0,2,286,26,6,1,26,6,1,0
450,8830,1,2,178,14,3,0,14,3,0,0
451,1228,1,1,329,14,3,0,14,3,0,0
452,9481,1,1,219,4,1,0,4,1,0,0
453,3715,0,2,244,11,3,0,13,3,0,1
454,6009,0,2,434,39,9,1,12,3,0,1
455,2002,1,2,244,26,6,1,12,3,0,1
456,5095,0,2,459,34,7,1,13,3,0,1
457,8675,1,1,262,34,7,1,39,9,1,1
458,10060,1,2,293,27,6,1,26,6,1,1
459,8849,1,2,244,8,3,0,12,3,0,1
460,1529,1,1,246,27,6,1,27,6,1,0
461,3661,0,2,309,13,3,0,14,3,0,1
462,6133,0,0,328,39,9,1,39,9,1,0
463,5585,0,2,206,16,3,0,16,3,0,0
464,6497,0,2,391,12,3,0,14,3,0,1
465,1294,0,2,255,17,4,0,13,3,0,1
466,7083,0,2,266,39,9,1,13,3,0,1
467,9006,1,2,273,13,3,0,13,3,0,0
468,8947,1,1,181,31,7,1,31,7,1,0
469,3041,0,2,249,13,3,0,13,3,0,0
470,8774,1,1,258,2,1,0,2,1,0,0
471,1553,1,2,400,26,6,1,13,3,0,1
472,4045,0,3,341,4,1,0,4,1,0,0
473,6921,0,2,309,14,3,0,14,3,0,0
474,1988,1,1,191,14,3,0,33,7,1,1
475,4111,0,2,257,31,7,1,29,6,1,1
476,8246,1,1,290,13,3,0,13,3,0,0
477,6439,0,2,207,8,3,0,8,3,0,0
478,1193,0,0,202,13,3,0,13,3,0,0
479,5477,0,3,231,13,3,0,26,6,1,1
480,5455,0,3,280,18,5,0,18,5,0,0
481,6989,0,2,274,14,3,0,14,3,0,0
482,3149,0,3,222,0,0,0,0,0,0,0
483,8529,1,2,358,16,3,0,13,3,0,1
484,3557,0,0,338,13,3,0,13,3,0,0
485,8321,1,2,346,13,3,0,13,3,0,0
486,9581,1,2,179,14,3,0,14,3,0,0
487,4277,0,4,348,13,3,0,29,6,1,1
488,3005,0,3,264,20,2,0,12,3,0,1
489,10043,1,1,222,0,0,0,0,0,0,0
490,8614,1,1,217,0,0,0,0,0,0,0
491,8037,1,2,232,12,3,0,12,3,0,0
492,3229,0,2,222,26,6,1,26,6,1,0
493,1833,0,3,401,18,5,0,18,5,0,0
494,9171,1,1,298,42,9,1,44,9,1,1
495,9613,1,1,370,30,7,1,4,1,0,1
496,9563,1,3,325,13,3,0,14,3,0,1
497,8833,1,3,246,12,3,0,2,1,0,1
498,1649,1,1,242,9,3,0,9,3,0,0
499,1447,1,1,252,40,9,1,13,3,0,1
500,6703,0,0,275,14,3,0,13,3,0,1
501,8584,1,3,251,14,3,0,14,3,0,0
502,3907,0,2,620,26,6,1,26,6,1,0
503,5255,0,2,502,13,3,0,13,3,0,0
504,9220,1,1,304,26,6,1,14,3,0,1
505,7129,0,1,315,18,5,0,18,5,0,0
506,5633,0,1,179,24,5,0,24,5,0,0
507,3677,0,5,748,13,3,0,12,3,0,1
508,3823,0,1,544,7,2,0,7,2,0,0
509,8483,1,3,376,14,3,0,14,3,0,0
510,4929,0,3,425,14,3,0,13,3,0,1
511,5177,0,2,210,0,0,0,0,0,0,0
512,9919,1,1,269,34,7,1,39,9,1,1
513,5157,0,3,231,1,1,0,12,3,0,1
514,3621,0,3,212,13,3,0,13,3,0,0
515,9822,1,3,374,26,6,1,7,2,0,1
516,9692,1,2,258,11,3,0,11,3,0,0
517,7071,0,0,237,16,3,0,16,3,0,0
518,5985,0,1,176,26,6,1,26,6,1,0
519,1354,1,1,281,23,6,1,26,6,1,1
520,8185,1,1,211,24,5,0,24,5,0,0
521,9838,1,2,210,11,3,0,5,1,0,1
522,1272,1,0,192,0,0,0,0,0,0,0
523,4855,0,3,409,21,2,0,13,3,0,1
524,4547,0,1,373,35,8,1,35,8,1,0
525,1055,0,0,338,26,6,1,26,6,1,0
526,9756,1,3,288,24,5,0,24,5,0,0
527,9111,1,2,358,13,3,0,11,3,0,1
528,9977,1,1,165,18,5,0,18,5,0,0
529,3781,0,3,399,21,2,0,21,2,0,0
530,1095,1,1,339,14,3,0,14,3,0,0
531,6399,0,2,332,13,3,0,13,3,0,0
532,8728,1,1,171,43,9,1,43,9,1,0
533,1684,0,0,189,26,6,1,26,6,1,0
534,9648,1,3,332,13,3,0,18,5,0,1
535,1739,0,2,183,0,0,0,0,0,0,0
536,3619,0,2,235,11,3,0,14,3,0,1
537,1783,1,0,381,25,6,1,25,6,1,0
538,8298,1,2,351,13,3,0,13,3,0,0
539,6357,0,2,249,18,5,0,18,5,0,0
540,4137,0,2,287,10,3,0,10,3,0,0
541,5931,0,1,190,6,1,0,13,3,0,1
542,8597,1,1,301,4,1,0,32,7,1,1
543,9253,1,1,317,39,9,1,27,6,1,1
544,6177,0,1,280,13,3,0,13,3,0,0
545,2004,0,2,335,18,5,0,18,5,0,0
546,3047,0,3,276,16,3,0,16,3,0,0
547,10121,1,3,189,20,2,0,21,2,0,1
548,8364,1,1,224,25,6,1,14,3,0,1
549,3863,0,2,247,26,6,1,26,6,1,0
550,5859,0,3,304,26,6,1,26,6,1,0
551,6719,0,3,275,29,6,1,14,3,0,1
